artist_name,album_name,album_release_date,track_name,track_release_date,duration_ms,popularity,danceability,energy,acousticness,instrumentalness,valence,tempo,liveness,loudness,speechiness,audio_type,lyrics_full,lyrics_cleaned,spotify_url
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Superproxy - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,374496,28,0.42,0.97,9.22E-05,0.0259,0.367,133.01,0.577,-6.898,0.0943,live,Not available,Not available,https://open.spotify.com/track/3kyY3L6eGEPjXLmGwQggWE
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Back2me - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,224395,27,0.298,0.96,0.000167,0.00132,0.235,112.1,0.355,-6.814,0.159,live,Not available,Not available,https://open.spotify.com/track/41HHuTilekHAaZODAfXZTA
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Waiting For The Bus - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,223813,24,0.351,0.935,0.0031,0,0.543,132.927,0.0916,-7.367,0.0835,live,Not available,Not available,https://open.spotify.com/track/0xCznl1AvGIUaLcXjEU392
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Fine Time - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,191688,23,0.175,0.937,0.0331,1.87E-06,0.522,188.178,0.378,-6.734,0.123,live,Not available,Not available,https://open.spotify.com/track/231Z4IJKcO2uzCJJkVu2PR
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Kamasupra - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,284753,23,0.396,0.944,4.74E-05,0.2,0.444,129.247,0.22,-6.592,0.0663,live,Not available,Not available,https://open.spotify.com/track/3AAUgFNRwdStgo8OcMRuPx
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Overdrive - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,316902,23,0.328,0.877,0.00473,0.00788,0.233,134.516,0.109,-6.738,0.0855,live,Not available,Not available,https://open.spotify.com/track/2MgC6yooxAww4cum5JGccq
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Slo Mo - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,218672,23,0.594,0.954,0.00933,0.00103,0.672,123.973,0.303,-5.82,0.0561,live,Not available,Not available,https://open.spotify.com/track/3D7DWw8ZQJa277rlL2NWIk
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Torpedo - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,265959,22,0.358,0.977,0.000503,0.00114,0.292,131.307,0.105,-6.59,0.172,live,Not available,Not available,https://open.spotify.com/track/3FxtFzjv6T9rXtsd6KnxYU
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Huwag Mo Nang Itanong - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,275762,23,0.326,0.738,0.0424,8.45E-06,0.424,83.755,0.473,-6.432,0.0295,live,Not available,Not available,https://open.spotify.com/track/0yJIpfsYQqEPfIyVmz9m6e
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Paru-Parong Ningning - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,183636,19,0.304,0.971,0.000159,0.253,0.338,154.866,0.126,-7.343,0.119,live,Not available,Not available,https://open.spotify.com/track/1Abzl3hAdHq0CgUcX1ftTi
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Walang Nagbago - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,199555,20,0.225,0.989,0.000248,0.156,0.219,162.54,0.405,-6.114,0.232,live,Not available,Not available,https://open.spotify.com/track/71vZIKKAZdCWKlsIoczdek
